Unit,School / Division,Category,Calendar name,Calendar URL,Platform / CMS,How content is rendered,Feed / API endpoint,Best way to fetch it programmatically,Confidence,Notes
Penn Today (University-wide),University,University-wide,Penn Today Events Calendar,https://penntoday.upenn.edu/events,Drupal 11,Server-rendered HTML; filter UI adds query params,none found,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Main university-wide public calendar
Perelman School of Medicine,Medicine,School,PSOM Events Calendar,https://events.med.upenn.edu/,LiveWhale Calendar,JS-rendered; event data loaded via LiveWhale endpoints under /livewhale,LiveWhale supports ?format=ics / RSS on views,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),Also /faculty view; submit at /public/index.php
Annenberg School for Communication,Annenberg,School,ASC Events,https://www.asc.upenn.edu/news-events/events,Drupal 11,Server-rendered HTML,none found,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Filter by center via ?center=<id>
Graduate School of Education,GSE,School,Penn GSE Events Calendar,https://www.gse.upenn.edu/events,Drupal 10,"Server-rendered HTML, paginated (14 pages)",none found,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Weitzman School of Design,Design,School,Weitzman Events,https://www.design.upenn.edu/events,Drupal 10,Server-rendered HTML,none found,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Admissions events at apply.design.upenn.edu/portal/events
School of Social Policy & Practice,SP2,School,SP2 Events,https://www.sp2.upenn.edu/events/,WordPress (The Events Calendar),Server-rendered HTML,Likely /events/?ical=1 and /wp-json/tribe/events/v1/events,"WordPress ""The Events Calendar"": use /wp-json/tribe/events/v1/events (JSON, paginated) — cleanest option. ?ical=1 on any view gives .ics.",Verified (page fetched),Submit at /events/submit-an-event/
School of Dental Medicine,Dental,School,Penn Dental Events,https://www.dental.upenn.edu/events/,WordPress 7.0.4,Server-rendered HTML archive,none found,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
School of Engineering & Applied Science,Engineering,School,Penn Engineering Events,https://events.engineering.upenn.edu/,WordPress + The Events Calendar (TEC),Server-rendered HTML,https://events.engineering.upenn.edu/events-calendar/month/?ical=1 ; TEC REST API v1,"WordPress ""The Events Calendar"": use /wp-json/tribe/events/v1/events (JSON, paginated) — cleanest option. ?ical=1 on any view gives .ics.",Verified (page fetched),events.seas.upenn.edu 302-redirects here
Penn Libraries,Libraries,Library,Penn Libraries Events,https://www.library.upenn.edu/events,Drupal 10,Server-rendered HTML,none found,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Exhibits listed separately
The Wharton School,Wharton,School,Wharton Events hub,https://www.wharton.upenn.edu/events/,WordPress + WPBakery,"Hub page only, no listings",none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Points to alumni.wharton.upenn.edu/events-hq and groups.wharton.upenn.edu/events
Penn Carey Law,Law,School,Law School Events Calendar,https://www.law.upenn.edu/calendar/,LiveWhale Calendar,JS-rendered LiveWhale widget; /live/ paths serve data,LiveWhale ?format=ics / RSS on views,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),WebFetch hits a redirect loop; use /calendar/view/all
Penn Carey Law - Registrar,Law,Academic deadlines,Registrar's Calendar,https://www.law.upenn.edu/registrar/calendar.php,Static PHP page,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
Penn Carey Law - Academics,Law,Academic deadlines,Academic Calendar,https://www.law.upenn.edu/academics/calendar/,Static PHP page,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),PDF at /live/files/13428-2026-2027-academic-calendar
School of Nursing,Nursing,School,Penn Nursing Calendar,https://www.nursing.upenn.edu/calendar/,LiveWhale Calendar,JS-rendered; /live/events/<id> detail pages,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),Redirect loop on bare /calendar/; try /calendar/view/all
School of Nursing - Registrar,Nursing,Academic deadlines,Academic Calendar,https://www.nursing.upenn.edu/students/courses-registration/academic-calendar/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
School of Veterinary Medicine,Vet,School,Penn Vet Events Calendar,https://www.vet.upenn.edu/about/penn-vet-events-calendar,WordPress + The Events Calendar,Server-rendered HTML,?ical=1 export; webcal; TEC REST API,"WordPress ""The Events Calendar"": use /wp-json/tribe/events/v1/events (JSON, paginated) — cleanest option. ?ical=1 on any view gives .ics.",Verified (page fetched),List view /events/list/
